종,무게,길이1,길이2,길이3,높이,너비
도미,242,23.2,25.4,30,11.52,4.02
도미,290,24,26.3,31.2,12.48,4.3056
도미,340,23.9,26.5,31.1,12.3778,4.6961
도미,363,26.3,29,33.5,12.73,4.4555
도미,430,26.5,29,34,12.444,5.134
도미,450,26.8,29.7,34.7,13.6024,4.9274
도미,500,26.8,29.7,34.5,14.1795,5.2785
도미,390,27.6,30,35,12.67,4.69
도미,450,27.6,30,35.1,14.0049,4.8438
도미,500,28.5,30.7,36.2,14.2266,4.9594
도미,475,28.4,31,36.2,14.2628,5.1042
도미,500,28.7,31,36.2,14.3714,4.8146
도미,500,29.1,31.5,36.4,13.7592,4.368
도미,340,29.5,32,37.3,13.9129,5.0728
도미,600,29.4,32,37.2,14.9544,5.1708
도미,600,29.4,32,37.2,15.438,5.58
도미,700,30.4,33,38.3,14.8604,5.2854
도미,700,30.4,33,38.5,14.938,5.1975
도미,610,30.9,33.5,38.6,15.633,5.1338
도미,650,31,33.5,38.7,14.4738,5.7276
도미,575,31.3,34,39.5,15.1285,5.5695
도미,685,31.4,34,39.2,15.9936,5.3704
도미,620,31.5,34.5,39.7,15.5227,5.2801
도미,680,31.8,35,40.6,15.4686,6.1306
도미,700,31.9,35,40.5,16.2405,5.589
도미,725,31.8,35,40.9,16.36,6.0532
도미,720,32,35,40.6,16.3618,6.09
도미,714,32.7,36,41.5,16.517,5.8515
도미,850,32.8,36,41.6,16.8896,6.1984
도미,1000,33.5,37,42.6,18.957,6.603
도미,920,35,38.5,44.1,18.0369,6.3063
도미,955,35,38.5,44,18.084,6.292
도미,925,36.2,39.5,45.3,18.7542,6.7497
도미,975,37.4,41,45.9,18.6354,6.7473
도미,950,38,41,46.5,17.6235,6.3705
잉어,40,12.9,14.1,16.2,4.1472,2.268
잉어,69,16.5,18.2,20.3,5.2983,2.8217
잉어,78,17.5,18.8,21.2,5.5756,2.9044
잉어,87,18.2,19.8,22.2,5.6166,3.1746
잉어,120,18.6,20,22.2,6.216,3.5742
잉어,0,19,20.5,22.8,6.4752,3.3516
잉어,110,19.1,20.8,23.1,6.1677,3.3957
잉어,120,19.4,21,23.7,6.1146,3.2943
잉어,150,20.4,22,24.7,5.8045,3.7544
잉어,145,20.5,22,24.3,6.6339,3.5478
잉어,160,20.5,22.5,25.3,7.0334,3.8203
잉어,140,21,22.5,25,6.55,3.325
잉어,160,21.1,22.5,25,6.4,3.8
잉어,169,22,24,27.2,7.5344,3.8352
잉어,161,22,23.4,26.7,6.9153,3.6312
잉어,200,22.1,23.5,26.8,7.3968,4.1272
잉어,180,23.6,25.2,27.9,7.0866,3.906
잉어,290,24,26,29.2,8.8768,4.4968
잉어,272,25,27,30.6,8.568,4.7736
잉어,390,29.5,31.7,35,9.485,5.355
송어,270,23.6,26,28.7,8.3804,4.2476
송어,270,24.1,26.5,29.3,8.1454,4.2485
송어,306,25.6,28,30.8,8.778,4.6816
송어,540,28.5,31,34,10.744,6.562
송어,800,33.7,36.4,39.6,11.7612,6.5736
송어,1000,37.3,40,43.5,12.354,6.525
농어,5.9,7.5,8.4,8.8,2.112,1.408
농어,32,12.5,13.7,14.7,3.528,1.9992
농어,40,13.8,15,16,3.824,2.432
농어,51.5,15,16.2,17.2,4.5924,2.6316
농어,70,15.7,17.4,18.5,4.588,2.9415
농어,100,16.2,18,19.2,5.2224,3.3216
농어,78,16.8,18.7,19.4,5.1992,3.1234
농어,80,17.2,19,20.2,5.6358,3.0502
농어,85,17.8,19.6,20.8,5.1376,3.0368
농어,85,18.2,20,21,5.082,2.772
농어,110,19,21,22.5,5.6925,3.555
농어,115,19,21,22.5,5.9175,3.3075
농어,125,19,21,22.5,5.6925,3.6675
농어,130,19.3,21.3,22.8,6.384,3.534
농어,120,20,22,23.5,6.11,3.4075
농어,120,20,22,23.5,5.64,3.525
농어,130,20,22,23.5,6.11,3.525
농어,135,20,22,23.5,5.875,3.525
농어,110,20,22,23.5,5.5225,3.995
농어,130,20.5,22.5,24,5.856,3.624
농어,150,20.5,22.5,24,6.792,3.624
농어,145,20.7,22.7,24.2,5.9532,3.63
농어,150,21,23,24.5,5.2185,3.626
농어,170,21.5,23.5,25,6.275,3.725
농어,225,22,24,25.5,7.293,3.723
농어,145,22,24,25.5,6.375,3.825
농어,188,22.6,24.6,26.2,6.7334,4.1658
농어,180,23,25,26.5,6.4395,3.6835
농어,197,23.5,25.6,27,6.561,4.239
농어,218,25,26.5,28,7.168,4.144
농어,300,25.2,27.3,28.7,8.323,5.1373
농어,260,25.4,27.5,28.9,7.1672,4.335
농어,265,25.4,27.5,28.9,7.0516,4.335
농어,250,25.4,27.5,28.9,7.2828,4.5662
농어,250,25.9,28,29.4,7.8204,4.2042
농어,300,26.9,28.7,30.1,7.5852,4.6354
농어,320,27.8,30,31.6,7.6156,4.7716
농어,514,30.5,32.8,34,10.03,6.018
농어,556,32,34.5,36.5,10.2565,6.3875
농어,840,32.5,35,37.3,11.4884,7.7957
농어,685,34,36.5,39,10.881,6.864
농어,700,34,36,38.3,10.6091,6.7408
농어,700,34.5,37,39.4,10.835,6.2646
농어,690,34.6,37,39.3,10.5717,6.3666
농어,900,36.5,39,41.4,11.1366,7.4934
농어,650,36.5,39,41.4,11.1366,6.003
농어,820,36.6,39,41.3,12.4313,7.3514
농어,850,36.9,40,42.3,11.9286,7.1064
농어,900,37,40,42.5,11.73,7.225
농어,1015,37,40,42.4,12.3808,7.4624
농어,820,37.1,40,42.5,11.135,6.63
농어,1100,39,42,44.6,12.8002,6.8684
농어,1000,39.8,43,45.2,11.9328,7.2772
농어,1100,40.1,43,45.5,12.5125,7.4165
농어,1000,40.2,43.5,46,12.604,8.142
농어,1000,41.1,44,46.6,12.4888,7.5958
